k,funds,weights,effective_bets,max_pair_corr,cum_return,cagr,ann_vol,max_drawdown,max_dd_duration_bdays,sharpe,sortino,calmar,cvar_95,ulcer_index,hit_rate_monthly,worst_rolling_12m,tracking_error,information_ratio,upside_capture,downside_capture,corr_with_dis,beta_vs_dis
4,CPF;GBF;GTF;NAEF,0.300;0.100;0.100;0.500,3.615232157186963,0.4320599659001399,0.5532675141104759,0.07353106113756969,0.10451346815148536,-0.17434138474417527,536.0,0.731293497167873,0.8911566532661805,0.42176481072160554,-0.015907963971863854,0.05806975916235704,0.647887323943662,-0.14652110795726525,0.037589001974832656,0.19326442738580002,0.9386910786923323,0.919177271013361,0.9332230846087751,0.9830635884845543
4,GBF;NAEF;VAEF;VEEF,0.300;0.400;0.200;0.100,2.8583610955287644,0.5987185680855236,0.5530007320656327,0.07350134994846802,0.11423679188899974,-0.23490775869809977,616.0,0.6783440741676772,0.7871089606570051,0.3128945180688176,-0.017195366566124987,0.08172222942282312,0.6619718309859155,-0.22319219409710211,0.02916019027057401,0.28554162608665756,1.2934283559171225,1.1251032184524086,0.9724432815973275,1.1196806077195776
5,GBF;GTF;HKEF;NAEF;VEEF,0.100;0.200;0.100;0.400;0.200,3.5355486678329826,0.5362326953282437,0.5528247658368195,0.07348175046192607,0.11779671155781171,-0.2328568253109834,601.0,0.6612398993091947,0.7653251079126663,0.31556622986588523,-0.017813669034777223,0.0756005286559032,0.676056338028169,-0.2078286409915372,0.03441357956371798,0.2535767309620079,1.2220754146174475,1.0876966503559364,0.9641057552369642,1.1446737409431436
5,CPF;GBF;HSHF;NAEF;VEEF,0.200;0.100;0.100;0.400;0.200,4.133951844472738,0.5362326953282437,0.5524204344798469,0.07343670812980418,0.11630125785235686,-0.22747956925377677,582.0,0.6678545848690933,0.7732419604598486,0.32282770875074945,-0.01766810039192123,0.06886715000683502,0.6619718309859155,-0.1921131567517067,0.03364077056364505,0.2528754679882194,1.1633345421335783,1.0531619391622447,0.963611815338751,1.1295628650790999
4,EUEF;GTF;HSHF;VUEF,0.200;0.300;0.100;0.400,2.84362642138098,0.5656946229667411,0.5519548426858036,0.0733848292201309,0.1166253000590125,-0.2327779612312313,591.0,0.6657970754181135,0.8115924424188312,0.31525677444710354,-0.0176507531876123,0.0749102164062817,0.676056338028169,-0.2037632161565649,0.06010990601384789,0.14113116420649535,1.1355227162964685,1.0428490979929395,0.8569662166603297,1.0073499138023896
4,CPF;GBF;GEF;HSIF,0.200;0.100;0.600;0.100,3.720607556415005,0.37612084990039174,0.5514567669280965,0.07332931630452899,0.11016861164640232,-0.2230620033471874,582.0,0.6977845068853248,0.803833235591073,0.32873961142720814,-0.016722933732532988,0.06734889949505775,0.676056338028169,-0.18958524489910866,0.02424083268555649,0.3179984684909607,1.0927614152198517,1.0082785917358204,0.9786086283847482,1.0866527791193692
4,CPF;GTF;HSHF;NAEF,0.300;0.100;0.100;0.500,3.475136261505005,0.4818579805555785,0.550938737080028,0.07327156354764863,0.11180235006467074,-0.19427787083781878,571.0,0.6885523313440223,0.8318894934532252,0.37714827340688223,-0.01690853389013037,0.06005378351480147,0.6619718309859155,-0.159496788413508,0.03763507950001591,0.20768831121488968,0.9734500196618452,0.9346544952253207,0.9432969238872575,1.0629754359209935
5,CNEF;CPF;EUEF;GTF;NAEF,0.100;0.200;0.200;0.100;0.400,3.731634448296587,0.5925898063315813,0.550643611729086,0.07323865414846797,0.11698164095375595,-0.2310622322302971,591.0,0.6630426092841428,0.7709262225994975,0.316965059332898,-0.017923944469638062,0.07112254317344509,0.6619718309859155,-0.19197752336565632,0.03242585866593448,0.25900346571759597,1.1248684996538603,1.0298697244584514,0.968302867724896,1.1417021138825671
4,CPF;EUEF;HSHF;NAEF,0.300;0.200;0.100;0.400,3.144145106379314,0.5925898063315813,0.5503409875253447,0.07320490309627425,0.1160475947452503,-0.22910660939794936,572.0,0.6671608293714558,0.7742637991000046,0.3195233140093316,-0.01789856333292635,0.06438696263751638,0.6619718309859155,-0.17790445594998394,0.03171873952191768,0.2603195145294181,1.0998148759233466,1.013122921835883,0.9686140316076428,1.1329500881726964
5,CNEF;EUEF;GBF;GTF;VUEF,0.100;0.200;0.100;0.200;0.400,3.518488076434281,0.5656946229667411,0.5502991330863274,0.07320023472213677,0.1171119328711105,-0.2319320432175812,645.0,0.6620509372762268,0.8063061687286375,0.3156107009045999,-0.017609676202346748,0.08183322974122505,0.676056338028169,-0.21738136014934284,0.05996771522936377,0.1395527945089754,1.1727807072067615,1.06803044093531,0.8590346642235659,1.0139947721000968
5,GBF;GTF;HSIF;NAEF;VEEF,0.100;0.200;0.100;0.400;0.200,3.5371876974353,0.5362326953282437,0.5502554818718735,0.07319536582603736,0.11752546184460383,-0.2316689304994567,597.0,0.6602194033698803,0.762922327145076,0.3159481319667465,-0.017846640802465875,0.07414031213164579,0.676056338028169,-0.20621558863745115,0.033881033123244024,0.24872876769095326,1.2203575534969104,1.0876480421362873,0.9651533712325737,1.1432788687668862
5,CNEF;CPF;GBF;VAEF;VUEF,0.100;0.200;0.100;0.200;0.400,3.6314764548304987,0.8289265752893278,0.5500442387437561,0.07317180195061868,0.11278264767057261,-0.22244235965038628,650.0,0.6827701356116714,0.8393664208441443,0.3289472475729135,-0.01686830708438997,0.08162562983658876,0.6197183098591549,-0.21077345474842935,0.06731488375506746,0.11645598305169744,1.0651760642336594,0.9997304825801652,0.8057496923736389,0.9159384955747583
3,EUEF;GBF;NAEF,0.100;0.400;0.500,2.3950244163831473,0.5925898063315813,0.5498761517808095,0.07315305016038232,0.11777490243914264,-0.22557288142801146,570.0,0.6585671810719631,0.7967302756597399,0.3242989569370205,-0.01788650491220549,0.07896888040926124,0.6619718309859155,-0.2066358743101907,0.03427164329659218,0.24502130652817342,1.2463189426258603,1.1126762008078654,0.964481602393996,1.144907970952967
4,ANEF;GBF;GEF;GTF,0.100;0.100;0.600;0.200,2.9251360408615628,0.5347599130410681,0.5494782263746865,0.0731086507807095,0.11300253924862082,-0.23682443582342005,566.0,0.6812876903423825,0.7824291263629973,0.3087040006092126,-0.017143440162979407,0.07846222664241632,0.676056338028169,-0.20993748724326444,0.024609762591304096,0.31783469082745497,1.171929437206917,1.0585359717450904,0.9814683161526347,1.1178624414048581
5,CPF;GBF;GTF;HKEF;NAEF,0.200;0.100;0.100;0.100;0.500,4.1764547964201055,0.4752333378617767,0.5493847346337828,0.07309821785179493,0.11211864400209047,-0.19693095400690164,591.0,0.6854927107824897,0.829217606324853,0.37118703974405737,-0.01689222112531769,0.06645786945266478,0.6619718309859155,-0.17705955264656736,0.0355382820219599,0.2164176230726154,1.0354347415295542,0.9827364038748465,0.9507157485474766,1.0743663628996343
4,CNEF;CPF;GBF;NAEF,0.100;0.300;0.100;0.500,3.8806905204992894,0.23609917957208168,0.5492830274805514,0.07308686754894755,0.11187559835242375,-0.1939450347586471,557.0,0.6866374746234837,0.8330359093437215,0.3768432001360579,-0.016830781399509276,0.06700148844089752,0.647887323943662,-0.1747782410223041,0.03638013641156558,0.21035038338376014,1.0072926937219013,0.9628617996095079,0.9476014724473375,1.0685257092719316
